District,OperatingExpenditures,County,Address,City and Zip Code,Superintendent,Four Year Longitudinal Graduation Rate - Class of 2016,Grade,Four Year Graduation Rate Numerator - Class of 2016,Four Year Graduation Rate Denominator - Class of 2016,Four Year Graduation Rate - Similar District Average,Four Year Graduation Rate - Statewide Average
Bexley City,33245295.21,Franklin,348 S Cassingham Rd,"Bexley, OH, 43209-1897",Kimberly P. Miller,95,A,152,160,96.7,83.6
Columbus City School District,741732367.9,,,,,74.1,,,,,
Delaware City,54484300.55,Delaware,74 W William St,"Delaware, OH, 43015-2339",Paul A. Craft,92.6,B,311,336,93.4,83.6
Hamilton City,103231121.8,Butler,PO Box 627,"Hamilton, OH, 45012-0627",Anthony T. Orr,76.4,F,444,581,84.6,83.6
South-Western City,233375619.3,Franklin,3805 Marlane Dr,"Grove City, OH, 43123-9224",William H. Wise,86.5,C,1347,1557,88,83.6
Upper Arlington City,86780285.41,Franklin,1950 N Mallway Dr,"Upper Arlington, OH, 43221-4398",Paul W. Imhoff,97.5,A,431,442,96.9,83.6
Westerville City,159467351.9,Franklin,936 Eastwind Dr Ste 200,"Westerville, OH, 43081-3319",John R. Kellogg,90.5,B,990,1094,92.9,83.6
Whitehall City,37059117.72,Franklin,625 S Yearling Rd,"Whitehall, OH, 43213-2861",Brian D. Hamler,77,F,157,204,86.5,83.6
Worthington City,127956685.3,Franklin,200 E Wilson Bridge Rd,"Worthington, OH, 43085-2332",Trent H. Bowers,94.9,A,686,723,94.9,83.6
Marysville Exempted Village,50102900.72,Union,1000 Edgewood Dr,"Marysville, OH, 43040-2105",Diane M. Mankins,91.9,B,384,418,94,83.6
Big Walnut Local,37056821.19,Delaware,110 Tippett Ct,"Sunbury, OH, 43074-9334",Angela S. Pollock,95,A,211,222,95.8,83.6
Buckeye Valley Local,23072744.46,Delaware,679 Coover Rd,"Delaware, OH, 43015-9562",Andrew J. Miller,97.7,A,169,173,95.9,83.6
Olentangy Local,207924207.4,Delaware,7840 Graphics Way,"Lewis Center, OH, 43035-9078",Mark T. Raiff,98.3,A,1243,1265,96,83.6
Pickerington Local,112321805.4,Fairfield,90 East St.,"Pickerington, OH, 43147-1061",Chris M. Briggs,98.1,A,816,832,94.3,83.6
Canal Winchester Local,39309232.56,Franklin,100 Washington St,"Canal Winchester, OH, 43110-1224",James Sotlar,96.9,A,279,288,93.7,83.6
Groveport Madison Local,66555206.47,Franklin,4400 Marketing Pl Ste B,"Groveport, OH, 43125-2009",Bruce A. Hoover,80.3,D,290,361,84.8,83.6
New Albany-Plain Local,55056240.19,Franklin,55 N High St,"New Albany, OH, 43054-7099",Michael L. Sawyers,97.4,A,305,313,96.8,83.6
Reynoldsburg City,66087728.27,Franklin,7244 E Main St,"Reynoldsburg, OH, 43068-2014",Melvin Brown,92.4,B,402,435,88,83.6
Hilliard City,183974260.8,Franklin,2140 Atlas St,"Columbus, OH, 43228-9647",John C. Marschhausen,95.3,A,1146,1202,95.1,83.6
Dublin City,194985705.6,Franklin,7030 Coffman Rd,"Dublin, OH, 43017-1068",Todd F. Hoadley,97.5,A,1191,1221,95.4,83.6
Johnstown-Monroe Local,14273438.93,Licking,441 S Main St,"Johnstown, OH, 43031-1297",Dale L. Dickson,93.1,A,122,131,95.9,83.6
Licking Heights Local,38173728.57,Licking,6539 Summit Rd SW,"Pataskala, OH, 43062-8767",Philip H. Wagner,95,A,208,219,94,83.6
Northridge Local,12817264.88,Licking,6066 Johnstown Utica Rd,"Johnstown, OH, 43031-9408",Scott A. Schmidt,97.2,A,106,109,95.8,83.6
Northridge Local,12817264.88,Montgomery,2008 Timber Ln,"Dayton, OH, 45414-4528",David A. Jackson,87.9,C,102,116,83.4,83.6
Southwest Licking Local,35444018.26,Licking,927-A South Street,"Pataskala, OH, 43062",Robert T. Jennell,89.8,B,299,333,93.7,83.6
Jefferson Local,13419553.07,Madison,906 W Main St,"West Jefferson, OH, 43162-1144",William R. Mullett,97.7,A,84,86,94.2,83.6
Jonathan Alder Local,20620481.49,Madison,9200 US Route 42 S,"Plain City, OH, 43064",Gary L. Chapman,96.8,A,152,157,95.4,83.6
Northridge Local,21121651.3,Licking,6066 Johnstown Utica Rd,"Johnstown, OH, 43031-9408",Scott A. Schmidt,97.2,A,106,109,95.8,83.6
Northridge Local,21121651.3,Montgomery,2008 Timber Ln,"Dayton, OH, 45414-4528",David A. Jackson,87.9,C,102,116,83.4,83.6
Teays Valley Local,36621254.73,Pickaway,385 Viking Way,"Ashville, OH, 43103-9638",Robin N. Halley,90.7,B,273,301,93.1,83.6
Westfall Local,15736435.65,Pickaway,19463 Pherson Pike,"Williamsport, OH, 43164-9745",Lynn P. Landis,91.7,B,111,121,94.2,83.6
Fairbanks Local,11803640.99,Union,11158 State Route 38,"Milford Center, OH, 43045-9764",Robert J. Humble,96.4,A,80,83,96.4,83.6
